"id";"table_id";"filename";"cropped_filename";"table_name";"type";"is_cover";"created_at";"updated_at"
"190";"83";"1598425554309_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-08-26 05:05:53";"2020-08-26 05:05:57"
"192";"84";"1599045254299_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-09-02 09:14:14";"2020-09-02 09:14:18"
"193";"85";"1599665748411_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-09-09 13:40:01";"2020-09-09 13:40:05"
"194";"86";"1601299970739_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-09-28 11:32:51";"2020-09-28 11:32:55"
"195";"87";"1601636578460_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-10-02 09:02:57";"2020-10-02 09:03:01"
"196";"88";"1602053605997_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-10-07 04:53:25";"2020-10-07 04:53:30"
"197";"89";"1603211519005_cop.png";NULL;"NEWS";"IMAGE";"1";"2020-10-20 14:36:37";"2020-10-20 14:36:40"
"198";"90";"1603622515572_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-10-25 09:46:35";"2020-10-25 09:46:39"
"199";"90";"1603622535450_dsc1383.jpg";NULL;"NEWS";"IMAGE";"0";"2020-10-25 09:47:03";"2020-10-25 09:47:03"
"200";"90";"1603622558090_dsc1310.jpg";NULL;"NEWS";"IMAGE";"0";"2020-10-25 09:47:25";"2020-10-25 09:47:25"
"201";"90";"1603622585203_dsc1327.jpg";NULL;"NEWS";"IMAGE";"0";"2020-10-25 09:47:53";"2020-10-25 09:47:53"
"202";"91";"1605363408877_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-11-14 14:21:40";"2020-11-14 14:21:44"
"203";"92";"1605985350911_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-11-21 19:07:27";"2020-11-21 19:07:31"
"204";"92";"1605985369906_dsc0087_1.jpg";NULL;"NEWS";"IMAGE";"0";"2020-11-21 19:07:52";"2020-11-21 19:07:52"
"205";"92";"1605985386782_dsc0138.jpg";NULL;"NEWS";"IMAGE";"0";"2020-11-21 19:08:06";"2020-11-21 19:08:06"
"206";"92";"1605985491204_dsc0131.jpg";NULL;"NEWS";"IMAGE";"0";"2020-11-21 19:09:52";"2020-11-21 19:09:52"
"207";"93";"1606225200560_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-11-24 13:44:57";"2020-11-24 13:45:02"
"208";"93";"1606225219376_cop.jpg";NULL;"NEWS";"IMAGE";"0";"2020-11-24 13:45:16";"2020-11-24 13:45:16"
"209";"93";"1606225232863_dsc0519.jpeg";NULL;"NEWS";"IMAGE";"0";"2020-11-24 13:45:39";"2020-11-24 13:45:39"
"211";"94";"1607250616105_copcopok.jpg";NULL;"NEWS";"IMAGE";"1";"2020-12-06 10:35:20";"2020-12-06 10:35:23"
"212";"94";"1607252643105_promo_intera.jpg";NULL;"NEWS";"FILE";"0";"2020-12-06 11:09:24";"2020-12-06 11:09:24"
"214";"95";"1607449447113_pag.jpg";NULL;"NEWS";"IMAGE";"0";"2020-12-08 17:49:29";"2020-12-08 17:54:59"
"215";"95";"1607449579774_copertinajpg.jpg";NULL;"NEWS";"IMAGE";"0";"2020-12-08 17:51:27";"2020-12-08 17:54:59"
"216";"95";"1607449749362_copet.jpg";NULL;"NEWS";"IMAGE";"1";"2020-12-08 17:54:14";"2020-12-08 17:54:59"
"217";"96";"1608285250394_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-12-18 09:54:09";"2020-12-18 09:54:14"
"218";"97";"1608811133590_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-12-24 12:04:07";"2020-12-24 12:04:12"
"219";"98";"1612118615964_copgazzetta.jpg";NULL;"NEWS";"IMAGE";"1";"2021-01-31 18:49:06";"2021-01-31 18:49:10"
"220";"99";"1612268282653_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2021-02-02 12:18:07";"2021-02-02 12:18:12"
"221";"100";"1614600636710_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2021-03-01 12:10:40";"2021-03-01 12:10:43"
"222";"100";"1614600646288_dsc0714.jpg";NULL;"NEWS";"IMAGE";"0";"2021-03-01 12:10:49";"2021-03-01 12:10:49"
"223";"101";"1614601288101_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2021-03-01 12:21:31";"2021-03-01 12:21:40"
"224";"101";"1614601302671_dongigicaritas2.jpg";NULL;"NEWS";"IMAGE";"0";"2021-03-01 12:21:46";"2021-03-01 12:21:46"
"225";"102";"1614871797989_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2021-03-04 15:29:57";"2021-03-04 15:30:00"
"226";"103";"1615281512338_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2021-03-09 09:18:32";"2021-03-09 09:18:40"
